URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://dhis2.org/fhir/cancer-registry/ValueSet/CRBasisDiagnosisVS,0.1.0,active,,CRBasisDiagnosisVS,CR - Basis diagnosis value set,"Value set of basis of diagnosis codes aligned with the CanReg5 basis dictionary. Codes 0-4 are non-microscopically confirmed, codes 5-8 are microscopically confirmed, and code 9 is unknown.","StructureDefinition/cr-basis-of-diagnosis-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRBehaviourVS,1.0.0,active,,CRBehaviourVS,CR - Behaviour value set,"Value set of tumour behaviour codes aligned with the CanReg5 ICD-O-3.2 behaviour dictionary, used in the Tumor stage to classify the biological behaviour of the neoplasm.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRBehaviourVS,0.1.0,active,,CRBehaviourVS,CR - Behaviour value set,"Value set of tumour behaviour codes aligned with the CanReg5 ICD-O-3.2 behaviour dictionary, used in the Tumor stage to classify the biological behaviour of the neoplasm.","StructureDefinition/cr-behaviour-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRGradeVS,1.0.0,active,,CRGradeVS,CR - Grade value set,"Value set of tumour grade and differentiation codes aligned with the CanReg5 ICD-O-3.2 grade dictionary. Includes histological grades 1-4, lymphoma/leukaemia-specific codes 5-8, and unknown (9). Grade is mandatory only when behaviour is malignant (3).",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRGradeVS,0.1.0,active,,CRGradeVS,CR - Grade value set,"Value set of tumour grade and differentiation codes aligned with the CanReg5 ICD-O-3.2 grade dictionary. Includes histological grades 1-4, lymphoma/leukaemia-specific codes 5-8, and unknown (9). Grade is mandatory only when behaviour is malignant (3).","StructureDefinition/cr-grade-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphology4VS,1.0.0,active,,CRMorphology4VS,CR - Morphology4 value set,"Value set of ICD-O-3.2 morphology codes (first four digits) mapped from the CanReg5 morphology dictionary, representing histological types of neoplasms.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphology4VS,0.1.0,active,,CRMorphology4VS,CR - Morphology4 value set,"Value set of ICD-O-3.2 morphology codes (first four digits) mapped from the CanReg5 morphology dictionary, representing histological types of neoplasms.","StructureDefinition/cr-morphology-observation,StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyFamilyVS,1.0.0,active,,CRMorphologyFamilyVS,CR - Morphology Family value set,"Value set of morphological family grouping codes derived from the CanReg5 MorphFam.txt lookup file, used in the Sex-Morphology and Topography-Morphology data quality checks.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyFamilyVS,0.1.0,active,,CRMorphologyFamilyVS,CR - Morphology Family value set,"Value set of morphological family grouping codes derived from the CanReg5 MorphFam.txt lookup file, used in the Sex-Morphology and Topography-Morphology data quality checks.","StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyGroupVS,1.0.0,active,,CRMorphologyGroupVS,CR - Morphology Group value set,"Value set of morphology group codes used in the Multiple Primary Tester data quality check, derived from the CanReg5 DefaultMultiplePrimaryTester mapping logic.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyGroupVS,0.1.0,active,,CRMorphologyGroupVS,CR - Morphology Group value set,"Value set of morphology group codes used in the Multiple Primary Tester data quality check, derived from the CanReg5 DefaultMultiplePrimaryTester mapping logic.","StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyResultVS,1.0.0,active,,CRMorphologyResultVS,CR - Morphology result value set,"Value set of intermediate morphology evaluation result codes used in the Multiple Primary Tester check to determine whether to proceed to topography evaluation.",,"Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMorphologyResultVS,0.1.0,active,,CRMorphologyResultVS,CR - Morphology result value set,"Value set of intermediate morphology evaluation result codes used in the Multiple Primary Tester check to determine whether to proceed to topography evaluation.","StructureDefinition/Tumor","Internal"
https://dhis2.org/fhir/cancer-registry/ValueSet/CRMultiplePrimaryTestVS,1.0.0,active,,CRMultiplePrimaryTestVS,CR - Multiple primary test value set,"Value set of result codes for the Multiple Primary Tester data quality check, determining whether tumours are duplicate registrations, distinct multiple primaries, or have unknown topography.",,"Internal"
